MATCH: phishing_mails/0 -> similarity=791.00, yara_score=0.00, total=791.00
NO MATCH: phishing_mails/28 -> similarity=528.00, yara_score=0.00, total=528.00
MATCH: phishing_mails/29 -> similarity=17997.00, yara_score=0.00, total=17997.00
NO MATCH: phishing_mails/30 -> similarity=710.00, yara_score=0.00, total=710.00
MATCH: phishing_mails/31 -> similarity=1182.00, yara_score=0.00, total=1182.00
MATCH: phishing_mails/32 -> similarity=764.00, yara_score=0.00, total=764.00
NO MATCH: phishing_mails/33 -> similarity=302.00, yara_score=0.00, total=302.00
MATCH: phishing_mails/34 -> similarity=15970.00, yara_score=0.00, total=15970.00
MATCH: phishing_mails/35 -> similarity=1640.00, yara_score=0.00, total=1640.00
MATCH: phishing_mails/36 -> similarity=1009.00, yara_score=0.00, total=1009.00
MATCH: phishing_mails/37 -> similarity=1170.00, yara_score=0.00, total=1170.00
MATCH: phishing_mails/38 -> similarity=1250.00, yara_score=0.00, total=1250.00
MATCH: phishing_mails/39 -> similarity=884.00, yara_score=0.00, total=884.00
MATCH: phishing_mails/40 -> similarity=3420.00, yara_score=0.00, total=3420.00
MATCH: phishing_mails/41 -> similarity=1268.00, yara_score=0.00, total=1268.00
MATCH: phishing_mails/42 -> similarity=867.00, yara_score=0.00, total=867.00
NO MATCH: phishing_mails/43 -> similarity=461.00, yara_score=0.00, total=461.00
MATCH: phishing_mails/44 -> similarity=1014.00, yara_score=0.00, total=1014.00
MATCH: phishing_mails/45 -> similarity=1613.00, yara_score=0.00, total=1613.00
MATCH: phishing_mails/46 -> similarity=1083.00, yara_score=0.00, total=1083.00
MATCH: phishing_mails/47 -> similarity=1222.00, yara_score=0.00, total=1222.00
MATCH: phishing_mails/48 -> similarity=1829.00, yara_score=0.00, total=1829.00
MATCH: phishing_mails/49 -> similarity=1496.00, yara_score=0.00, total=1496.00
MATCH: phishing_mails/50 -> similarity=1063.00, yara_score=0.00, total=1063.00
MATCH: phishing_mails/51 -> similarity=914.00, yara_score=0.00, total=914.00
MATCH: phishing_mails/52 -> similarity=847.00, yara_score=0.00, total=847.00
MATCH: phishing_mails/53 -> similarity=1429.00, yara_score=0.00, total=1429.00
MATCH: phishing_mails/54 -> similarity=751.00, yara_score=0.00, total=751.00
MATCH: phishing_mails/55 -> similarity=2458.00, yara_score=0.00, total=2458.00
NO MATCH: phishing_mails/56 -> similarity=632.00, yara_score=0.00, total=632.00
NO MATCH: phishing_mails/57 -> similarity=650.00, yara_score=0.00, total=650.00
MATCH: phishing_mails/58 -> similarity=2457.00, yara_score=0.00, total=2457.00
MATCH: phishing_mails/59 -> similarity=1300.00, yara_score=0.00, total=1300.00
NO MATCH: phishing_mails/60 -> similarity=528.00, yara_score=0.00, total=528.00
NO MATCH: phishing_mails/61 -> similarity=631.00, yara_score=0.00, total=631.00
NO MATCH: phishing_mails/62 -> similarity=633.00, yara_score=0.00, total=633.00
NO MATCH: phishing_mails/63 -> similarity=601.00, yara_score=0.00, total=601.00
NO MATCH: phishing_mails/64 -> similarity=483.00, yara_score=0.00, total=483.00
MATCH: phishing_mails/65 -> similarity=1851.00, yara_score=0.00, total=1851.00
NO MATCH: phishing_mails/66 -> similarity=407.00, yara_score=0.00, total=407.00
NO MATCH: phishing_mails/67 -> similarity=644.00, yara_score=0.00, total=644.00
NO MATCH: phishing_mails/68 -> similarity=564.00, yara_score=0.00, total=564.00
MATCH: phishing_mails/69 -> similarity=1094.00, yara_score=0.00, total=1094.00
MATCH: phishing_mails/70 -> similarity=1290.00, yara_score=0.00, total=1290.00
MATCH: phishing_mails/71 -> similarity=965.00, yara_score=0.00, total=965.00
MATCH: phishing_mails/72 -> similarity=943.00, yara_score=0.00, total=943.00
NO MATCH: phishing_mails/73 -> similarity=595.00, yara_score=0.00, total=595.00
MATCH: phishing_mails/74 -> similarity=1005.00, yara_score=0.00, total=1005.00
MATCH: phishing_mails/75 -> similarity=1106.00, yara_score=0.00, total=1106.00
NO MATCH: phishing_mails/76 -> similarity=677.00, yara_score=0.00, total=677.00
NO MATCH: phishing_mails/77 -> similarity=564.00, yara_score=0.00, total=564.00
MATCH: phishing_mails/78 -> similarity=2179.00, yara_score=0.00, total=2179.00
MATCH: phishing_mails/79 -> similarity=1117.00, yara_score=0.00, total=1117.00
MATCH: phishing_mails/80 -> similarity=997.00, yara_score=0.00, total=997.00
MATCH: phishing_mails/81 -> similarity=917.00, yara_score=0.00, total=917.00
MATCH: phishing_mails/82 -> similarity=1522.00, yara_score=0.00, total=1522.00
MATCH: phishing_mails/83 -> similarity=1598.00, yara_score=0.00, total=1598.00
MATCH: phishing_mails/84 -> similarity=891.00, yara_score=0.00, total=891.00
MATCH: phishing_mails/85 -> similarity=2356.00, yara_score=0.00, total=2356.00
MATCH: phishing_mails/86 -> similarity=1727.00, yara_score=0.00, total=1727.00
MATCH: phishing_mails/87 -> similarity=742.00, yara_score=0.00, total=742.00
NO MATCH: phishing_mails/88 -> similarity=271.00, yara_score=0.00, total=271.00
MATCH: phishing_mails/89 -> similarity=1717.00, yara_score=0.00, total=1717.00
MATCH: phishing_mails/90 -> similarity=782.00, yara_score=0.00, total=782.00
NO MATCH: phishing_mails/91 -> similarity=681.00, yara_score=0.00, total=681.00
NO MATCH: phishing_mails/92 -> similarity=582.00, yara_score=0.00, total=582.00
MATCH: phishing_mails/93 -> similarity=885.00, yara_score=0.00, total=885.00
MATCH: phishing_mails/94 -> similarity=764.00, yara_score=0.00, total=764.00
MATCH: phishing_mails/95 -> similarity=2349.00, yara_score=0.00, total=2349.00
MATCH: phishing_mails/96 -> similarity=828.00, yara_score=0.00, total=828.00
MATCH: phishing_mails/97 -> similarity=988.00, yara_score=0.00, total=988.00
MATCH: phishing_mails/98 -> similarity=943.00, yara_score=0.00, total=943.00
NO MATCH: phishing_mails/99 -> similarity=696.00, yara_score=0.00, total=696.00
NO MATCH: phishing_mails/100 -> similarity=662.00, yara_score=0.00, total=662.00
MATCH: phishing_mails/101 -> similarity=1494.00, yara_score=0.00, total=1494.00
MATCH: phishing_mails/102 -> similarity=1071.00, yara_score=0.00, total=1071.00
NO MATCH: phishing_mails/103 -> similarity=530.00, yara_score=0.00, total=530.00
NO MATCH: phishing_mails/104 -> similarity=627.00, yara_score=0.00, total=627.00
MATCH: phishing_mails/105 -> similarity=1645.00, yara_score=0.00, total=1645.00
MATCH: phishing_mails/106 -> similarity=2622.00, yara_score=0.00, total=2622.00
NO MATCH: phishing_mails/107 -> similarity=369.00, yara_score=0.00, total=369.00
MATCH: phishing_mails/108 -> similarity=1031.00, yara_score=0.00, total=1031.00
MATCH: phishing_mails/109 -> similarity=741.00, yara_score=0.00, total=741.00
MATCH: phishing_mails/110 -> similarity=2018.00, yara_score=0.00, total=2018.00
MATCH: phishing_mails/111 -> similarity=1278.00, yara_score=0.00, total=1278.00
NO MATCH: phishing_mails/112 -> similarity=613.00, yara_score=0.00, total=613.00
NO MATCH: phishing_mails/113 -> similarity=695.00, yara_score=0.00, total=695.00
MATCH: phishing_mails/114 -> similarity=880.00, yara_score=0.00, total=880.00
NO MATCH: phishing_mails/115 -> similarity=548.00, yara_score=0.00, total=548.00
NO MATCH: phishing_mails/116 -> similarity=534.00, yara_score=0.00, total=534.00
MATCH: phishing_mails/117 -> similarity=795.00, yara_score=0.00, total=795.00
MATCH: phishing_mails/118 -> similarity=1007.00, yara_score=0.00, total=1007.00
MATCH: phishing_mails/119 -> similarity=1045.00, yara_score=0.00, total=1045.00
NO MATCH: phishing_mails/120 -> similarity=498.00, yara_score=0.00, total=498.00
NO MATCH: phishing_mails/121 -> similarity=261.00, yara_score=0.00, total=261.00
MATCH: phishing_mails/122 -> similarity=762.00, yara_score=0.00, total=762.00
NO MATCH: phishing_mails/123 -> similarity=416.00, yara_score=0.00, total=416.00
MATCH: phishing_mails/124 -> similarity=823.00, yara_score=0.00, total=823.00
MATCH: phishing_mails/125 -> similarity=2601.00, yara_score=0.00, total=2601.00
MATCH: phishing_mails/126 -> similarity=889.00, yara_score=0.00, total=889.00
MATCH: phishing_mails/127 -> similarity=2272.00, yara_score=0.00, total=2272.00
MATCH: phishing_mails/128 -> similarity=1040.00, yara_score=0.00, total=1040.00
NO MATCH: phishing_mails/129 -> similarity=262.00, yara_score=0.00, total=262.00
NO MATCH: phishing_mails/130 -> similarity=598.00, yara_score=0.00, total=598.00
NO MATCH: phishing_mails/131 -> similarity=664.00, yara_score=0.00, total=664.00
NO MATCH: phishing_mails/132 -> similarity=496.00, yara_score=0.00, total=496.00
NO MATCH: phishing_mails/133 -> similarity=384.00, yara_score=0.00, total=384.00
MATCH: phishing_mails/134 -> similarity=2148.00, yara_score=0.00, total=2148.00
NO MATCH: phishing_mails/135 -> similarity=646.00, yara_score=0.00, total=646.00
MATCH: phishing_mails/136 -> similarity=2479.00, yara_score=0.00, total=2479.00
MATCH: phishing_mails/137 -> similarity=2321.00, yara_score=0.00, total=2321.00
NO MATCH: phishing_mails/138 -> similarity=423.00, yara_score=0.00, total=423.00
MATCH: phishing_mails/139 -> similarity=2361.00, yara_score=0.00, total=2361.00
MATCH: phishing_mails/140 -> similarity=154650.02, yara_score=0.00, total=154650.02
MATCH: phishing_mails/141 -> similarity=3606.00, yara_score=0.00, total=3606.00
MATCH: phishing_mails/142 -> similarity=738.00, yara_score=0.00, total=738.00
MATCH: phishing_mails/143 -> similarity=1687.00, yara_score=0.00, total=1687.00
MATCH: phishing_mails/144 -> similarity=1232.00, yara_score=0.00, total=1232.00
MATCH: phishing_mails/145 -> similarity=1723.00, yara_score=0.00, total=1723.00
NO MATCH: phishing_mails/146 -> similarity=483.00, yara_score=0.00, total=483.00
MATCH: phishing_mails/147 -> similarity=1215.00, yara_score=0.00, total=1215.00
MATCH: phishing_mails/148 -> similarity=1852.00, yara_score=0.00, total=1852.00
MATCH: phishing_mails/149 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/150 -> similarity=1312.00, yara_score=0.00, total=1312.00
MATCH: phishing_mails/151 -> similarity=2678.00, yara_score=0.00, total=2678.00
MATCH: phishing_mails/152 -> similarity=9321.00, yara_score=0.00, total=9321.00
MATCH: phishing_mails/153 -> similarity=2807.00, yara_score=0.00, total=2807.00
NO MATCH: phishing_mails/154 -> similarity=585.00, yara_score=0.00, total=585.00
MATCH: phishing_mails/155 -> similarity=2532.00, yara_score=0.00, total=2532.00
MATCH: phishing_mails/156 -> similarity=1058.00, yara_score=0.00, total=1058.00
MATCH: phishing_mails/157 -> similarity=1834.00, yara_score=0.00, total=1834.00
MATCH: phishing_mails/158 -> similarity=1214.00, yara_score=0.00, total=1214.00
NO MATCH: phishing_mails/159 -> similarity=694.00, yara_score=0.00, total=694.00
MATCH: phishing_mails/160 -> similarity=1770.00, yara_score=0.00, total=1770.00
MATCH: phishing_mails/161 -> similarity=1227.00, yara_score=0.00, total=1227.00
MATCH: phishing_mails/162 -> similarity=2021.00, yara_score=0.00, total=2021.00
MATCH: phishing_mails/163 -> similarity=4129.00, yara_score=0.00, total=4129.00
NO MATCH: phishing_mails/164 -> similarity=549.00, yara_score=0.00, total=549.00
NO MATCH: phishing_mails/165 -> similarity=489.00, yara_score=0.00, total=489.00
NO MATCH: phishing_mails/166 -> similarity=721.00, yara_score=0.00, total=721.00
MATCH: phishing_mails/167 -> similarity=917.00, yara_score=0.00, total=917.00
MATCH: phishing_mails/168 -> similarity=3243.00, yara_score=0.00, total=3243.00
NO MATCH: phishing_mails/169 -> similarity=538.00, yara_score=0.00, total=538.00
MATCH: phishing_mails/170 -> similarity=1450.00, yara_score=0.00, total=1450.00
NO MATCH: phishing_mails/171 -> similarity=569.00, yara_score=0.00, total=569.00
MATCH: phishing_mails/172 -> similarity=856.00, yara_score=0.00, total=856.00
MATCH: phishing_mails/173 -> similarity=920.00, yara_score=0.00, total=920.00
MATCH: phishing_mails/174 -> similarity=2287.00, yara_score=0.00, total=2287.00
MATCH: phishing_mails/175 -> similarity=6733.00, yara_score=0.00, total=6733.00
MATCH: phishing_mails/176 -> similarity=2557.00, yara_score=0.00, total=2557.00
MATCH: phishing_mails/177 -> similarity=1291.00, yara_score=0.00, total=1291.00
MATCH: phishing_mails/178 -> similarity=870.00, yara_score=0.00, total=870.00
NO MATCH: phishing_mails/179 -> similarity=432.00, yara_score=0.00, total=432.00
MATCH: phishing_mails/180 -> similarity=2380.00, yara_score=0.00, total=2380.00
MATCH: phishing_mails/181 -> similarity=1491.00, yara_score=0.00, total=1491.00
NO MATCH: phishing_mails/182 -> similarity=574.00, yara_score=0.00, total=574.00
MATCH: phishing_mails/183 -> similarity=53658.01, yara_score=0.00, total=53658.01
MATCH: phishing_mails/184 -> similarity=786.00, yara_score=0.00, total=786.00
NO MATCH: phishing_mails/185 -> similarity=317.00, yara_score=0.00, total=317.00
MATCH: phishing_mails/186 -> similarity=1880.00, yara_score=0.00, total=1880.00
MATCH: phishing_mails/187 -> similarity=1072.00, yara_score=0.00, total=1072.00
MATCH: phishing_mails/188 -> similarity=2027.00, yara_score=0.00, total=2027.00
MATCH: phishing_mails/189 -> similarity=811.00, yara_score=0.00, total=811.00
MATCH: phishing_mails/190 -> similarity=2642.00, yara_score=0.00, total=2642.00
NO MATCH: phishing_mails/191 -> similarity=430.00, yara_score=0.00, total=430.00
MATCH: phishing_mails/192 -> similarity=753.00, yara_score=0.00, total=753.00
MATCH: phishing_mails/193 -> similarity=2559.00, yara_score=0.00, total=2559.00
MATCH: phishing_mails/194 -> similarity=1641.00, yara_score=0.00, total=1641.00
MATCH: phishing_mails/195 -> similarity=2308.00, yara_score=0.00, total=2308.00
MATCH: phishing_mails/196 -> similarity=1073.00, yara_score=0.00, total=1073.00
MATCH: phishing_mails/197 -> similarity=1084.00, yara_score=0.00, total=1084.00
MATCH: phishing_mails/198 -> similarity=785.00, yara_score=0.00, total=785.00
MATCH: phishing_mails/199 -> similarity=2608.00, yara_score=0.00, total=2608.00
NO MATCH: phishing_mails/200 -> similarity=671.00, yara_score=0.00, total=671.00
MATCH: phishing_mails/201 -> similarity=2127.00, yara_score=0.00, total=2127.00
MATCH: phishing_mails/202 -> similarity=1360.00, yara_score=0.00, total=1360.00
NO MATCH: phishing_mails/203 -> similarity=473.00, yara_score=0.00, total=473.00
NO MATCH: phishing_mails/204 -> similarity=697.00, yara_score=0.00, total=697.00
NO MATCH: phishing_mails/205 -> similarity=398.00, yara_score=0.00, total=398.00
MATCH: phishing_mails/206 -> similarity=5857.00, yara_score=0.00, total=5857.00
NO MATCH: phishing_mails/207 -> similarity=391.00, yara_score=0.00, total=391.00
MATCH: phishing_mails/208 -> similarity=1878.00, yara_score=0.00, total=1878.00
NO MATCH: phishing_mails/209 -> similarity=446.00, yara_score=0.00, total=446.00
MATCH: phishing_mails/210 -> similarity=1435.00, yara_score=0.00, total=1435.00
MATCH: phishing_mails/211 -> similarity=1587.00, yara_score=0.00, total=1587.00
MATCH: phishing_mails/212 -> similarity=751.00, yara_score=0.00, total=751.00
MATCH: phishing_mails/213 -> similarity=858.00, yara_score=0.00, total=858.00
NO MATCH: phishing_mails/214 -> similarity=485.00, yara_score=0.00, total=485.00
MATCH: phishing_mails/215 -> similarity=1465.00, yara_score=0.00, total=1465.00
MATCH: phishing_mails/216 -> similarity=1014.00, yara_score=0.00, total=1014.00
NO MATCH: phishing_mails/217 -> similarity=566.00, yara_score=0.00, total=566.00
MATCH: phishing_mails/218 -> similarity=847.00, yara_score=0.00, total=847.00
NO MATCH: phishing_mails/219 -> similarity=636.00, yara_score=0.00, total=636.00
MATCH: phishing_mails/220 -> similarity=840.00, yara_score=0.00, total=840.00
MATCH: phishing_mails/221 -> similarity=1469.00, yara_score=0.00, total=1469.00
MATCH: phishing_mails/222 -> similarity=1530.00, yara_score=0.00, total=1530.00
NO MATCH: phishing_mails/223 -> similarity=633.00, yara_score=0.00, total=633.00
NO MATCH: phishing_mails/224 -> similarity=672.00, yara_score=0.00, total=672.00
MATCH: phishing_mails/225 -> similarity=3015.00, yara_score=0.00, total=3015.00
MATCH: phishing_mails/226 -> similarity=730.00, yara_score=0.00, total=730.00
MATCH: phishing_mails/227 -> similarity=3907.00, yara_score=0.00, total=3907.00
NO MATCH: phishing_mails/228 -> similarity=691.00, yara_score=0.00, total=691.00
MATCH: phishing_mails/229 -> similarity=1015.00, yara_score=0.00, total=1015.00
MATCH: phishing_mails/230 -> similarity=1101.00, yara_score=0.00, total=1101.00
NO MATCH: phishing_mails/231 -> similarity=482.00, yara_score=0.00, total=482.00
NO MATCH: phishing_mails/232 -> similarity=639.00, yara_score=0.00, total=639.00
MATCH: phishing_mails/233 -> similarity=901.00, yara_score=0.00, total=901.00
NO MATCH: phishing_mails/234 -> similarity=431.00, yara_score=0.00, total=431.00
MATCH: phishing_mails/235 -> similarity=1297.00, yara_score=0.00, total=1297.00
NO MATCH: phishing_mails/236 -> similarity=478.00, yara_score=0.00, total=478.00
MATCH: phishing_mails/237 -> similarity=890.00, yara_score=0.00, total=890.00
NO MATCH: phishing_mails/238 -> similarity=427.00, yara_score=0.00, total=427.00
NO MATCH: phishing_mails/239 -> similarity=723.00, yara_score=0.00, total=723.00
MATCH: phishing_mails/240 -> similarity=1224.00, yara_score=0.00, total=1224.00
MATCH: phishing_mails/241 -> similarity=1153.00, yara_score=0.00, total=1153.00
NO MATCH: phishing_mails/242 -> similarity=654.00, yara_score=0.00, total=654.00
MATCH: phishing_mails/243 -> similarity=1010.00, yara_score=0.00, total=1010.00
NO MATCH: phishing_mails/244 -> similarity=614.00, yara_score=0.00, total=614.00
MATCH: phishing_mails/245 -> similarity=902.00, yara_score=0.00, total=902.00
MATCH: phishing_mails/246 -> similarity=917.00, yara_score=0.00, total=917.00
MATCH: phishing_mails/247 -> similarity=1674.00, yara_score=0.00, total=1674.00
NO MATCH: phishing_mails/248 -> similarity=626.00, yara_score=0.00, total=626.00
MATCH: phishing_mails/249 -> similarity=1585.00, yara_score=0.00, total=1585.00
MATCH: phishing_mails/250 -> similarity=1232.00, yara_score=0.00, total=1232.00
MATCH: phishing_mails/251 -> similarity=1514.00, yara_score=0.00, total=1514.00
NO MATCH: phishing_mails/252 -> similarity=453.00, yara_score=0.00, total=453.00
MATCH: phishing_mails/253 -> similarity=4067.00, yara_score=0.00, total=4067.00
MATCH: phishing_mails/254 -> similarity=2315.00, yara_score=0.00, total=2315.00
MATCH: phishing_mails/255 -> similarity=1000.00, yara_score=0.00, total=1000.00
NO MATCH: phishing_mails/256 -> similarity=354.00, yara_score=0.00, total=354.00
MATCH: phishing_mails/257 -> similarity=922.00, yara_score=0.00, total=922.00
NO MATCH: phishing_mails/258 -> similarity=454.00, yara_score=0.00, total=454.00
MATCH: phishing_mails/259 -> similarity=2181.00, yara_score=0.00, total=2181.00
MATCH: phishing_mails/260 -> similarity=4985.00, yara_score=0.00, total=4985.00
NO MATCH: phishing_mails/261 -> similarity=487.00, yara_score=0.00, total=487.00
MATCH: phishing_mails/262 -> similarity=1781.00, yara_score=0.00, total=1781.00
MATCH: phishing_mails/263 -> similarity=1393.00, yara_score=0.00, total=1393.00
NO MATCH: phishing_mails/264 -> similarity=556.00, yara_score=0.00, total=556.00
MATCH: phishing_mails/265 -> similarity=5472.00, yara_score=0.00, total=5472.00
NO MATCH: phishing_mails/266 -> similarity=359.00, yara_score=0.00, total=359.00
MATCH: phishing_mails/267 -> similarity=4234.00, yara_score=0.00, total=4234.00
NO MATCH: phishing_mails/268 -> similarity=471.00, yara_score=0.00, total=471.00
MATCH: phishing_mails/269 -> similarity=1116.00, yara_score=0.00, total=1116.00
MATCH: phishing_mails/270 -> similarity=874.00, yara_score=0.00, total=874.00
NO MATCH: phishing_mails/271 -> similarity=358.00, yara_score=0.00, total=358.00
NO MATCH: phishing_mails/272 -> similarity=395.00, yara_score=0.00, total=395.00
MATCH: phishing_mails/273 -> similarity=5250.00, yara_score=0.00, total=5250.00
MATCH: phishing_mails/274 -> similarity=894.00, yara_score=0.00, total=894.00
NO MATCH: phishing_mails/275 -> similarity=395.00, yara_score=0.00, total=395.00
NO MATCH: phishing_mails/276 -> similarity=363.00, yara_score=0.00, total=363.00
NO MATCH: phishing_mails/277 -> similarity=311.00, yara_score=0.00, total=311.00
MATCH: phishing_mails/278 -> similarity=1869.00, yara_score=0.00, total=1869.00
MATCH: phishing_mails/279 -> similarity=1149.00, yara_score=0.00, total=1149.00
NO MATCH: phishing_mails/280 -> similarity=588.00, yara_score=0.00, total=588.00
MATCH: phishing_mails/281 -> similarity=835.00, yara_score=0.00, total=835.00
NO MATCH: phishing_mails/282 -> similarity=534.00, yara_score=0.00, total=534.00
MATCH: phishing_mails/283 -> similarity=6784.00, yara_score=0.00, total=6784.00
MATCH: phishing_mails/284 -> similarity=826.00, yara_score=0.00, total=826.00
NO MATCH: phishing_mails/285 -> similarity=614.00, yara_score=0.00, total=614.00
NO MATCH: phishing_mails/286 -> similarity=715.00, yara_score=0.00, total=715.00
MATCH: phishing_mails/287 -> similarity=828.00, yara_score=0.00, total=828.00
NO MATCH: phishing_mails/288 -> similarity=498.00, yara_score=0.00, total=498.00
NO MATCH: phishing_mails/289 -> similarity=668.00, yara_score=0.00, total=668.00
MATCH: phishing_mails/290 -> similarity=993.00, yara_score=0.00, total=993.00
NO MATCH: phishing_mails/291 -> similarity=601.00, yara_score=0.00, total=601.00
NO MATCH: phishing_mails/292 -> similarity=364.00, yara_score=0.00, total=364.00
MATCH: phishing_mails/293 -> similarity=2081.00, yara_score=0.00, total=2081.00
MATCH: phishing_mails/294 -> similarity=1277.00, yara_score=0.00, total=1277.00
MATCH: phishing_mails/295 -> similarity=1556.00, yara_score=0.00, total=1556.00
MATCH: phishing_mails/296 -> similarity=1106.00, yara_score=0.00, total=1106.00
MATCH: phishing_mails/297 -> similarity=2608.00, yara_score=0.00, total=2608.00
NO MATCH: phishing_mails/298 -> similarity=442.00, yara_score=0.00, total=442.00
NO MATCH: phishing_mails/299 -> similarity=607.00, yara_score=0.00, total=607.00
NO MATCH: phishing_mails/300 -> similarity=550.00, yara_score=0.00, total=550.00
MATCH: phishing_mails/301 -> similarity=971.00, yara_score=0.00, total=971.00
MATCH: phishing_mails/302 -> similarity=838.00, yara_score=0.00, total=838.00
MATCH: phishing_mails/303 -> similarity=4159.00, yara_score=0.00, total=4159.00
NO MATCH: phishing_mails/304 -> similarity=455.00, yara_score=0.00, total=455.00
MATCH: phishing_mails/305 -> similarity=788.00, yara_score=0.00, total=788.00
MATCH: phishing_mails/306 -> similarity=4559.00, yara_score=0.00, total=4559.00
MATCH: phishing_mails/307 -> similarity=848.00, yara_score=0.00, total=848.00
MATCH: phishing_mails/308 -> similarity=2229.00, yara_score=0.00, total=2229.00
MATCH: phishing_mails/309 -> similarity=974.00, yara_score=0.00, total=974.00
MATCH: phishing_mails/310 -> similarity=741.00, yara_score=0.00, total=741.00
MATCH: phishing_mails/311 -> similarity=1362.00, yara_score=0.00, total=1362.00
MATCH: phishing_mails/312 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/313 -> similarity=1366.00, yara_score=0.00, total=1366.00
MATCH: phishing_mails/314 -> similarity=740.00, yara_score=0.00, total=740.00
MATCH: phishing_mails/315 -> similarity=2963.00, yara_score=0.00, total=2963.00
NO MATCH: phishing_mails/316 -> similarity=549.00, yara_score=0.00, total=549.00
NO MATCH: phishing_mails/317 -> similarity=472.00, yara_score=0.00, total=472.00
NO MATCH: phishing_mails/318 -> similarity=711.00, yara_score=0.00, total=711.00
NO MATCH: phishing_mails/319 -> similarity=465.00, yara_score=0.00, total=465.00
MATCH: phishing_mails/320 -> similarity=6048.00, yara_score=0.00, total=6048.00
MATCH: phishing_mails/321 -> similarity=1776.00, yara_score=0.00, total=1776.00
MATCH: phishing_mails/322 -> similarity=4272.00, yara_score=0.00, total=4272.00
MATCH: phishing_mails/323 -> similarity=1609.00, yara_score=0.00, total=1609.00
MATCH: phishing_mails/324 -> similarity=963.00, yara_score=0.00, total=963.00
MATCH: phishing_mails/325 -> similarity=2361.00, yara_score=0.00, total=2361.00
NO MATCH: phishing_mails/326 -> similarity=706.00, yara_score=0.00, total=706.00
NO MATCH: phishing_mails/327 -> similarity=673.00, yara_score=0.00, total=673.00
NO MATCH: phishing_mails/328 -> similarity=666.00, yara_score=0.00, total=666.00
NO MATCH: phishing_mails/329 -> similarity=467.00, yara_score=0.00, total=467.00
MATCH: phishing_mails/330 -> similarity=1554.00, yara_score=0.00, total=1554.00
MATCH: phishing_mails/331 -> similarity=813.00, yara_score=0.00, total=813.00
NO MATCH: phishing_mails/332 -> similarity=319.00, yara_score=0.00, total=319.00
MATCH: phishing_mails/333 -> similarity=1415.00, yara_score=0.00, total=1415.00
NO MATCH: phishing_mails/334 -> similarity=533.00, yara_score=0.00, total=533.00
MATCH: phishing_mails/335 -> similarity=895.00, yara_score=0.00, total=895.00
MATCH: phishing_mails/336 -> similarity=995.00, yara_score=0.00, total=995.00
MATCH: phishing_mails/337 -> similarity=3299.00, yara_score=0.00, total=3299.00
MATCH: phishing_mails/338 -> similarity=8794.00, yara_score=0.00, total=8794.00
MATCH: phishing_mails/339 -> similarity=2788.00, yara_score=0.00, total=2788.00
MATCH: phishing_mails/340 -> similarity=765.00, yara_score=0.00, total=765.00
MATCH: phishing_mails/341 -> similarity=1209.00, yara_score=0.00, total=1209.00
MATCH: phishing_mails/342 -> similarity=1365.00, yara_score=0.00, total=1365.00
