NO MATCH: phishing_mails/0 -> similarity=531.00, yara_score=0.00, total=531.00
MATCH: phishing_mails/32 -> similarity=638.00, yara_score=0.00, total=638.00
MATCH: phishing_mails/33 -> similarity=1088.00, yara_score=0.00, total=1088.00
NO MATCH: phishing_mails/34 -> similarity=596.00, yara_score=0.00, total=596.00
NO MATCH: phishing_mails/35 -> similarity=408.00, yara_score=0.00, total=408.00
NO MATCH: phishing_mails/36 -> similarity=528.00, yara_score=0.00, total=528.00
NO MATCH: phishing_mails/37 -> similarity=427.00, yara_score=0.00, total=427.00
NO MATCH: phishing_mails/38 -> similarity=357.00, yara_score=0.00, total=357.00
MATCH: phishing_mails/39 -> similarity=2048.00, yara_score=0.00, total=2048.00
NO MATCH: phishing_mails/40 -> similarity=322.00, yara_score=0.00, total=322.00
MATCH: phishing_mails/41 -> similarity=1429.00, yara_score=0.00, total=1429.00
MATCH: phishing_mails/42 -> similarity=1101.00, yara_score=0.00, total=1101.00
NO MATCH: phishing_mails/43 -> similarity=522.00, yara_score=0.00, total=522.00
NO MATCH: phishing_mails/44 -> similarity=403.00, yara_score=0.00, total=403.00
NO MATCH: phishing_mails/45 -> similarity=483.00, yara_score=0.00, total=483.00
MATCH: phishing_mails/46 -> similarity=8056.00, yara_score=0.00, total=8056.00
MATCH: phishing_mails/47 -> similarity=2421.00, yara_score=0.00, total=2421.00
NO MATCH: phishing_mails/48 -> similarity=579.00, yara_score=0.00, total=579.00
MATCH: phishing_mails/49 -> similarity=1541.00, yara_score=0.00, total=1541.00
MATCH: phishing_mails/50 -> similarity=1068.00, yara_score=0.00, total=1068.00
MATCH: phishing_mails/51 -> similarity=2056.00, yara_score=0.00, total=2056.00
NO MATCH: phishing_mails/52 -> similarity=498.00, yara_score=0.00, total=498.00
NO MATCH: phishing_mails/53 -> similarity=561.00, yara_score=0.00, total=561.00
NO MATCH: phishing_mails/54 -> similarity=559.00, yara_score=0.00, total=559.00
NO MATCH: phishing_mails/55 -> similarity=531.00, yara_score=0.00, total=531.00
NO MATCH: phishing_mails/56 -> similarity=349.00, yara_score=0.00, total=349.00
NO MATCH: phishing_mails/57 -> similarity=447.00, yara_score=0.00, total=447.00
MATCH: phishing_mails/58 -> similarity=1289.00, yara_score=0.00, total=1289.00
NO MATCH: phishing_mails/59 -> similarity=589.00, yara_score=0.00, total=589.00
NO MATCH: phishing_mails/60 -> similarity=363.00, yara_score=0.00, total=363.00
MATCH: phishing_mails/61 -> similarity=1954.00, yara_score=0.00, total=1954.00
NO MATCH: phishing_mails/62 -> similarity=542.00, yara_score=0.00, total=542.00
MATCH: phishing_mails/63 -> similarity=616.00, yara_score=0.00, total=616.00
MATCH: phishing_mails/64 -> similarity=2228.00, yara_score=0.00, total=2228.00
MATCH: phishing_mails/65 -> similarity=630.00, yara_score=0.00, total=630.00
MATCH: phishing_mails/66 -> similarity=2293.00, yara_score=0.00, total=2293.00
MATCH: phishing_mails/67 -> similarity=661.00, yara_score=0.00, total=661.00
NO MATCH: phishing_mails/68 -> similarity=36.00, yara_score=0.00, total=36.00
MATCH: phishing_mails/69 -> similarity=829.00, yara_score=0.00, total=829.00
MATCH: phishing_mails/70 -> similarity=973.00, yara_score=0.00, total=973.00
MATCH: phishing_mails/71 -> similarity=1496.00, yara_score=0.00, total=1496.00
NO MATCH: phishing_mails/72 -> similarity=550.00, yara_score=0.00, total=550.00
NO MATCH: phishing_mails/73 -> similarity=539.00, yara_score=0.00, total=539.00
NO MATCH: phishing_mails/74 -> similarity=562.00, yara_score=0.00, total=562.00
NO MATCH: phishing_mails/75 -> similarity=440.00, yara_score=0.00, total=440.00
MATCH: phishing_mails/76 -> similarity=1986.00, yara_score=0.00, total=1986.00
MATCH: phishing_mails/77 -> similarity=1073.00, yara_score=0.00, total=1073.00
MATCH: phishing_mails/78 -> similarity=2017.00, yara_score=0.00, total=2017.00
NO MATCH: phishing_mails/79 -> similarity=371.00, yara_score=0.00, total=371.00
MATCH: phishing_mails/80 -> similarity=643.00, yara_score=0.00, total=643.00
MATCH: phishing_mails/81 -> similarity=692.00, yara_score=0.00, total=692.00
NO MATCH: phishing_mails/82 -> similarity=508.00, yara_score=0.00, total=508.00
MATCH: phishing_mails/83 -> similarity=927.00, yara_score=0.00, total=927.00
MATCH: phishing_mails/84 -> similarity=705.00, yara_score=0.00, total=705.00
NO MATCH: phishing_mails/85 -> similarity=464.00, yara_score=0.00, total=464.00
MATCH: phishing_mails/86 -> similarity=794.00, yara_score=0.00, total=794.00
MATCH: phishing_mails/87 -> similarity=741.00, yara_score=0.00, total=741.00
MATCH: phishing_mails/88 -> similarity=724.00, yara_score=0.00, total=724.00
MATCH: phishing_mails/89 -> similarity=1306.00, yara_score=0.00, total=1306.00
NO MATCH: phishing_mails/90 -> similarity=425.00, yara_score=0.00, total=425.00
NO MATCH: phishing_mails/91 -> similarity=574.00, yara_score=0.00, total=574.00
MATCH: phishing_mails/92 -> similarity=2132.00, yara_score=0.00, total=2132.00
NO MATCH: phishing_mails/93 -> similarity=268.00, yara_score=0.00, total=268.00
MATCH: phishing_mails/94 -> similarity=969.00, yara_score=0.00, total=969.00
MATCH: phishing_mails/95 -> similarity=925.00, yara_score=0.00, total=925.00
NO MATCH: phishing_mails/96 -> similarity=399.00, yara_score=0.00, total=399.00
MATCH: phishing_mails/97 -> similarity=2000.00, yara_score=0.00, total=2000.00
MATCH: phishing_mails/98 -> similarity=1667.00, yara_score=0.00, total=1667.00
MATCH: phishing_mails/99 -> similarity=1892.00, yara_score=0.00, total=1892.00
MATCH: phishing_mails/100 -> similarity=2021.00, yara_score=0.00, total=2021.00
NO MATCH: phishing_mails/101 -> similarity=515.00, yara_score=0.00, total=515.00
MATCH: phishing_mails/102 -> similarity=624.00, yara_score=0.00, total=624.00
MATCH: phishing_mails/103 -> similarity=1989.00, yara_score=0.00, total=1989.00
MATCH: phishing_mails/104 -> similarity=906.00, yara_score=0.00, total=906.00
MATCH: phishing_mails/105 -> similarity=1848.00, yara_score=0.00, total=1848.00
MATCH: phishing_mails/106 -> similarity=1346.00, yara_score=0.00, total=1346.00
MATCH: phishing_mails/107 -> similarity=1735.00, yara_score=0.00, total=1735.00
MATCH: phishing_mails/108 -> similarity=1017.00, yara_score=0.00, total=1017.00
NO MATCH: phishing_mails/109 -> similarity=536.00, yara_score=0.00, total=536.00
MATCH: phishing_mails/110 -> similarity=880.00, yara_score=0.00, total=880.00
MATCH: phishing_mails/111 -> similarity=1745.00, yara_score=0.00, total=1745.00
NO MATCH: phishing_mails/112 -> similarity=495.00, yara_score=0.00, total=495.00
MATCH: phishing_mails/113 -> similarity=769.00, yara_score=0.00, total=769.00
MATCH: phishing_mails/114 -> similarity=909.00, yara_score=0.00, total=909.00
NO MATCH: phishing_mails/115 -> similarity=323.00, yara_score=0.00, total=323.00
NO MATCH: phishing_mails/116 -> similarity=489.00, yara_score=0.00, total=489.00
MATCH: phishing_mails/117 -> similarity=769.00, yara_score=0.00, total=769.00
NO MATCH: phishing_mails/118 -> similarity=587.00, yara_score=0.00, total=587.00
NO MATCH: phishing_mails/119 -> similarity=403.00, yara_score=0.00, total=403.00
MATCH: phishing_mails/120 -> similarity=733.00, yara_score=0.00, total=733.00
NO MATCH: phishing_mails/121 -> similarity=480.00, yara_score=0.00, total=480.00
MATCH: phishing_mails/122 -> similarity=1804.00, yara_score=0.00, total=1804.00
MATCH: phishing_mails/123 -> similarity=1712.00, yara_score=0.00, total=1712.00
MATCH: phishing_mails/124 -> similarity=728.00, yara_score=0.00, total=728.00
MATCH: phishing_mails/125 -> similarity=853.00, yara_score=0.00, total=853.00
NO MATCH: phishing_mails/126 -> similarity=469.00, yara_score=0.00, total=469.00
MATCH: phishing_mails/127 -> similarity=1790.00, yara_score=0.00, total=1790.00
MATCH: phishing_mails/128 -> similarity=848.00, yara_score=0.00, total=848.00
MATCH: phishing_mails/129 -> similarity=1381.00, yara_score=0.00, total=1381.00
MATCH: phishing_mails/130 -> similarity=1145.00, yara_score=0.00, total=1145.00
NO MATCH: phishing_mails/131 -> similarity=339.00, yara_score=0.00, total=339.00
NO MATCH: phishing_mails/132 -> similarity=335.00, yara_score=0.00, total=335.00
MATCH: phishing_mails/133 -> similarity=1429.00, yara_score=0.00, total=1429.00
NO MATCH: phishing_mails/134 -> similarity=428.00, yara_score=0.00, total=428.00
MATCH: phishing_mails/135 -> similarity=858.00, yara_score=0.00, total=858.00
MATCH: phishing_mails/136 -> similarity=743.00, yara_score=0.00, total=743.00
MATCH: phishing_mails/137 -> similarity=612.00, yara_score=0.00, total=612.00
MATCH: phishing_mails/138 -> similarity=1361.00, yara_score=0.00, total=1361.00
MATCH: phishing_mails/139 -> similarity=692.00, yara_score=0.00, total=692.00
MATCH: phishing_mails/140 -> similarity=4198.00, yara_score=0.00, total=4198.00
NO MATCH: phishing_mails/141 -> similarity=505.00, yara_score=0.00, total=505.00
MATCH: phishing_mails/142 -> similarity=1462.00, yara_score=0.00, total=1462.00
NO MATCH: phishing_mails/143 -> similarity=408.00, yara_score=0.00, total=408.00
NO MATCH: phishing_mails/144 -> similarity=422.00, yara_score=0.00, total=422.00
NO MATCH: phishing_mails/145 -> similarity=524.00, yara_score=0.00, total=524.00
MATCH: phishing_mails/146 -> similarity=5066.00, yara_score=0.00, total=5066.00
MATCH: phishing_mails/147 -> similarity=952.00, yara_score=0.00, total=952.00
MATCH: phishing_mails/148 -> similarity=954.00, yara_score=0.00, total=954.00
MATCH: phishing_mails/149 -> similarity=62253.01, yara_score=0.00, total=62253.01
MATCH: phishing_mails/150 -> similarity=1855.00, yara_score=0.00, total=1855.00
MATCH: phishing_mails/151 -> similarity=3480.00, yara_score=0.00, total=3480.00
MATCH: phishing_mails/152 -> similarity=1210.00, yara_score=0.00, total=1210.00
MATCH: phishing_mails/153 -> similarity=2679.00, yara_score=0.00, total=2679.00
NO MATCH: phishing_mails/154 -> similarity=464.00, yara_score=0.00, total=464.00
NO MATCH: phishing_mails/155 -> similarity=494.00, yara_score=0.00, total=494.00
NO MATCH: phishing_mails/156 -> similarity=387.00, yara_score=0.00, total=387.00
MATCH: phishing_mails/157 -> similarity=665.00, yara_score=0.00, total=665.00
MATCH: phishing_mails/158 -> similarity=1072.00, yara_score=0.00, total=1072.00
NO MATCH: phishing_mails/159 -> similarity=503.00, yara_score=0.00, total=503.00
NO MATCH: phishing_mails/160 -> similarity=566.00, yara_score=0.00, total=566.00
MATCH: phishing_mails/161 -> similarity=172762.02, yara_score=0.00, total=172762.02
MATCH: phishing_mails/162 -> similarity=2324.00, yara_score=0.00, total=2324.00
MATCH: phishing_mails/163 -> similarity=1514.00, yara_score=0.00, total=1514.00
MATCH: phishing_mails/164 -> similarity=1265.00, yara_score=0.00, total=1265.00
MATCH: phishing_mails/165 -> similarity=1437.00, yara_score=0.00, total=1437.00
MATCH: phishing_mails/166 -> similarity=747.00, yara_score=0.00, total=747.00
MATCH: phishing_mails/167 -> similarity=3256.00, yara_score=0.00, total=3256.00
MATCH: phishing_mails/168 -> similarity=1219.00, yara_score=0.00, total=1219.00
MATCH: phishing_mails/169 -> similarity=1583.00, yara_score=0.00, total=1583.00
MATCH: phishing_mails/170 -> similarity=899.00, yara_score=0.00, total=899.00
MATCH: phishing_mails/171 -> similarity=710.00, yara_score=0.00, total=710.00
MATCH: phishing_mails/172 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/173 -> similarity=640.00, yara_score=0.00, total=640.00
MATCH: phishing_mails/174 -> similarity=1504.00, yara_score=0.00, total=1504.00
MATCH: phishing_mails/175 -> similarity=645.00, yara_score=0.00, total=645.00
MATCH: phishing_mails/176 -> similarity=1401.00, yara_score=0.00, total=1401.00
MATCH: phishing_mails/177 -> similarity=852.00, yara_score=0.00, total=852.00
NO MATCH: phishing_mails/178 -> similarity=511.00, yara_score=0.00, total=511.00
MATCH: phishing_mails/179 -> similarity=683.00, yara_score=0.00, total=683.00
MATCH: phishing_mails/180 -> similarity=1917.00, yara_score=0.00, total=1917.00
MATCH: phishing_mails/181 -> similarity=678.00, yara_score=0.00, total=678.00
MATCH: phishing_mails/182 -> similarity=716.00, yara_score=0.00, total=716.00
MATCH: phishing_mails/183 -> similarity=642.00, yara_score=0.00, total=642.00
NO MATCH: phishing_mails/184 -> similarity=421.00, yara_score=0.00, total=421.00
NO MATCH: phishing_mails/185 -> similarity=478.00, yara_score=0.00, total=478.00
NO MATCH: phishing_mails/186 -> similarity=462.00, yara_score=0.00, total=462.00
NO MATCH: phishing_mails/187 -> similarity=467.00, yara_score=0.00, total=467.00
NO MATCH: phishing_mails/188 -> similarity=409.00, yara_score=0.00, total=409.00
MATCH: phishing_mails/189 -> similarity=882.00, yara_score=0.00, total=882.00
NO MATCH: phishing_mails/190 -> similarity=607.00, yara_score=0.00, total=607.00
NO MATCH: phishing_mails/191 -> similarity=467.00, yara_score=0.00, total=467.00
MATCH: phishing_mails/192 -> similarity=1432.00, yara_score=0.00, total=1432.00
NO MATCH: phishing_mails/193 -> similarity=493.00, yara_score=0.00, total=493.00
NO MATCH: phishing_mails/194 -> similarity=419.00, yara_score=0.00, total=419.00
NO MATCH: phishing_mails/195 -> similarity=534.00, yara_score=0.00, total=534.00
NO MATCH: phishing_mails/196 -> similarity=538.00, yara_score=0.00, total=538.00
MATCH: phishing_mails/197 -> similarity=841.00, yara_score=0.00, total=841.00
MATCH: phishing_mails/198 -> similarity=1023.00, yara_score=0.00, total=1023.00
NO MATCH: phishing_mails/199 -> similarity=411.00, yara_score=0.00, total=411.00
MATCH: phishing_mails/200 -> similarity=5062.00, yara_score=0.00, total=5062.00
MATCH: phishing_mails/201 -> similarity=1684.00, yara_score=0.00, total=1684.00
MATCH: phishing_mails/202 -> similarity=1646.00, yara_score=0.00, total=1646.00
MATCH: phishing_mails/203 -> similarity=982.00, yara_score=0.00, total=982.00
MATCH: phishing_mails/204 -> similarity=707.00, yara_score=0.00, total=707.00
NO MATCH: phishing_mails/205 -> similarity=483.00, yara_score=0.00, total=483.00
NO MATCH: phishing_mails/206 -> similarity=513.00, yara_score=0.00, total=513.00
MATCH: phishing_mails/207 -> similarity=945.00, yara_score=0.00, total=945.00
MATCH: phishing_mails/208 -> similarity=1965.00, yara_score=0.00, total=1965.00
MATCH: phishing_mails/209 -> similarity=1983.00, yara_score=0.00, total=1983.00
NO MATCH: phishing_mails/210 -> similarity=560.00, yara_score=0.00, total=560.00
MATCH: phishing_mails/211 -> similarity=1598.00, yara_score=0.00, total=1598.00
MATCH: phishing_mails/212 -> similarity=1724.00, yara_score=0.00, total=1724.00
NO MATCH: phishing_mails/213 -> similarity=431.00, yara_score=0.00, total=431.00
MATCH: phishing_mails/214 -> similarity=651.00, yara_score=0.00, total=651.00
NO MATCH: phishing_mails/215 -> similarity=460.00, yara_score=0.00, total=460.00
MATCH: phishing_mails/216 -> similarity=726.00, yara_score=0.00, total=726.00
NO MATCH: phishing_mails/217 -> similarity=610.00, yara_score=0.00, total=610.00
MATCH: phishing_mails/218 -> similarity=1013.00, yara_score=0.00, total=1013.00
MATCH: phishing_mails/219 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/220 -> similarity=2060.00, yara_score=0.00, total=2060.00
MATCH: phishing_mails/221 -> similarity=1272.00, yara_score=0.00, total=1272.00
MATCH: phishing_mails/222 -> similarity=701.00, yara_score=0.00, total=701.00
NO MATCH: phishing_mails/223 -> similarity=269.00, yara_score=0.00, total=269.00
NO MATCH: phishing_mails/224 -> similarity=604.00, yara_score=0.00, total=604.00
NO MATCH: phishing_mails/225 -> similarity=438.00, yara_score=0.00, total=438.00
MATCH: phishing_mails/226 -> similarity=662.00, yara_score=0.00, total=662.00
MATCH: phishing_mails/227 -> similarity=1644.00, yara_score=0.00, total=1644.00
NO MATCH: phishing_mails/228 -> similarity=484.00, yara_score=0.00, total=484.00
MATCH: phishing_mails/229 -> similarity=10949.00, yara_score=0.00, total=10949.00
MATCH: phishing_mails/230 -> similarity=697.00, yara_score=0.00, total=697.00
NO MATCH: phishing_mails/231 -> similarity=335.00, yara_score=0.00, total=335.00
MATCH: phishing_mails/232 -> similarity=830.00, yara_score=0.00, total=830.00
NO MATCH: phishing_mails/233 -> similarity=607.00, yara_score=0.00, total=607.00
MATCH: phishing_mails/234 -> similarity=2092.00, yara_score=0.00, total=2092.00
MATCH: phishing_mails/235 -> similarity=811.00, yara_score=0.00, total=811.00
MATCH: phishing_mails/236 -> similarity=1269.00, yara_score=0.00, total=1269.00
MATCH: phishing_mails/237 -> similarity=649.00, yara_score=0.00, total=649.00
MATCH: phishing_mails/238 -> similarity=3419.00, yara_score=0.00, total=3419.00
NO MATCH: phishing_mails/239 -> similarity=604.00, yara_score=0.00, total=604.00
MATCH: phishing_mails/240 -> similarity=738.00, yara_score=0.00, total=738.00
NO MATCH: phishing_mails/241 -> similarity=305.00, yara_score=0.00, total=305.00
NO MATCH: phishing_mails/242 -> similarity=524.00, yara_score=0.00, total=524.00
MATCH: phishing_mails/243 -> similarity=856.00, yara_score=0.00, total=856.00
MATCH: phishing_mails/244 -> similarity=718.00, yara_score=0.00, total=718.00
NO MATCH: phishing_mails/245 -> similarity=545.00, yara_score=0.00, total=545.00
NO MATCH: phishing_mails/246 -> similarity=487.00, yara_score=0.00, total=487.00
NO MATCH: phishing_mails/247 -> similarity=588.00, yara_score=0.00, total=588.00
MATCH: phishing_mails/248 -> similarity=673.00, yara_score=0.00, total=673.00
NO MATCH: phishing_mails/249 -> similarity=480.00, yara_score=0.00, total=480.00
MATCH: phishing_mails/250 -> similarity=1565.00, yara_score=0.00, total=1565.00
MATCH: phishing_mails/251 -> similarity=2040.00, yara_score=0.00, total=2040.00
MATCH: phishing_mails/252 -> similarity=1159.00, yara_score=0.00, total=1159.00
NO MATCH: phishing_mails/253 -> similarity=395.00, yara_score=0.00, total=395.00
MATCH: phishing_mails/254 -> similarity=1057.00, yara_score=0.00, total=1057.00
MATCH: phishing_mails/255 -> similarity=47199.01, yara_score=0.00, total=47199.01
MATCH: phishing_mails/256 -> similarity=1669.00, yara_score=0.00, total=1669.00
MATCH: phishing_mails/257 -> similarity=4063.00, yara_score=0.00, total=4063.00
MATCH: phishing_mails/258 -> similarity=890.00, yara_score=0.00, total=890.00
MATCH: phishing_mails/259 -> similarity=1535.00, yara_score=0.00, total=1535.00
MATCH: phishing_mails/260 -> similarity=905.00, yara_score=0.00, total=905.00
MATCH: phishing_mails/261 -> similarity=2588.00, yara_score=0.00, total=2588.00
MATCH: phishing_mails/262 -> similarity=613.00, yara_score=0.00, total=613.00
MATCH: phishing_mails/263 -> similarity=751.00, yara_score=0.00, total=751.00
MATCH: phishing_mails/264 -> similarity=1192.00, yara_score=0.00, total=1192.00
MATCH: phishing_mails/265 -> similarity=728.00, yara_score=0.00, total=728.00
MATCH: phishing_mails/266 -> similarity=923.00, yara_score=0.00, total=923.00
NO MATCH: phishing_mails/267 -> similarity=317.00, yara_score=0.00, total=317.00
MATCH: phishing_mails/268 -> similarity=808.00, yara_score=0.00, total=808.00
NO MATCH: phishing_mails/269 -> similarity=497.00, yara_score=0.00, total=497.00
MATCH: phishing_mails/270 -> similarity=1466.00, yara_score=0.00, total=1466.00
MATCH: phishing_mails/271 -> similarity=840.00, yara_score=0.00, total=840.00
MATCH: phishing_mails/272 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/273 -> similarity=791.00, yara_score=0.00, total=791.00
MATCH: phishing_mails/274 -> similarity=2036.00, yara_score=0.00, total=2036.00
MATCH: phishing_mails/275 -> similarity=3356.00, yara_score=0.00, total=3356.00
MATCH: phishing_mails/276 -> similarity=1120.00, yara_score=0.00, total=1120.00
MATCH: phishing_mails/277 -> similarity=1855.00, yara_score=0.00, total=1855.00
MATCH: phishing_mails/278 -> similarity=625.00, yara_score=0.00, total=625.00
MATCH: phishing_mails/279 -> similarity=1930.00, yara_score=0.00, total=1930.00
NO MATCH: phishing_mails/280 -> similarity=435.00, yara_score=0.00, total=435.00
MATCH: phishing_mails/281 -> similarity=1050.00, yara_score=0.00, total=1050.00
MATCH: phishing_mails/282 -> similarity=954.00, yara_score=0.00, total=954.00
MATCH: phishing_mails/283 -> similarity=914.00, yara_score=0.00, total=914.00
MATCH: phishing_mails/284 -> similarity=915.00, yara_score=0.00, total=915.00
MATCH: phishing_mails/285 -> similarity=988.00, yara_score=0.00, total=988.00
MATCH: phishing_mails/286 -> similarity=916.00, yara_score=0.00, total=916.00
MATCH: phishing_mails/287 -> similarity=877.00, yara_score=0.00, total=877.00
MATCH: phishing_mails/288 -> similarity=1505.00, yara_score=0.00, total=1505.00
MATCH: phishing_mails/289 -> similarity=738.00, yara_score=0.00, total=738.00
MATCH: phishing_mails/290 -> similarity=1207.00, yara_score=0.00, total=1207.00
NO MATCH: phishing_mails/291 -> similarity=601.00, yara_score=0.00, total=601.00
MATCH: phishing_mails/292 -> similarity=2110.00, yara_score=0.00, total=2110.00
NO MATCH: phishing_mails/293 -> similarity=506.00, yara_score=0.00, total=506.00
NO MATCH: phishing_mails/294 -> similarity=450.00, yara_score=0.00, total=450.00
MATCH: phishing_mails/295 -> similarity=729.00, yara_score=0.00, total=729.00
MATCH: phishing_mails/296 -> similarity=768.00, yara_score=0.00, total=768.00
NO MATCH: phishing_mails/297 -> similarity=456.00, yara_score=0.00, total=456.00
MATCH: phishing_mails/298 -> similarity=672.00, yara_score=0.00, total=672.00
MATCH: phishing_mails/299 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/300 -> similarity=3592.00, yara_score=0.00, total=3592.00
MATCH: phishing_mails/301 -> similarity=1064.00, yara_score=0.00, total=1064.00
MATCH: phishing_mails/302 -> similarity=1068.00, yara_score=0.00, total=1068.00
MATCH: phishing_mails/303 -> similarity=2094.00, yara_score=0.00, total=2094.00
MATCH: phishing_mails/304 -> similarity=94430.01, yara_score=0.00, total=94430.01
MATCH: phishing_mails/305 -> similarity=932.00, yara_score=0.00, total=932.00
NO MATCH: phishing_mails/306 -> similarity=606.00, yara_score=0.00, total=606.00
NO MATCH: phishing_mails/307 -> similarity=488.00, yara_score=0.00, total=488.00
NO MATCH: phishing_mails/308 -> similarity=381.00, yara_score=0.00, total=381.00
NO MATCH: phishing_mails/309 -> similarity=510.00, yara_score=0.00, total=510.00
MATCH: phishing_mails/310 -> similarity=2071.00, yara_score=0.00, total=2071.00
MATCH: phishing_mails/311 -> similarity=2593.00, yara_score=0.00, total=2593.00
MATCH: phishing_mails/312 -> similarity=756.00, yara_score=0.00, total=756.00
MATCH: phishing_mails/313 -> similarity=679.00, yara_score=0.00, total=679.00
MATCH: phishing_mails/314 -> similarity=842.00, yara_score=0.00, total=842.00
NO MATCH: phishing_mails/315 -> similarity=318.00, yara_score=0.00, total=318.00
MATCH: phishing_mails/316 -> similarity=656.00, yara_score=0.00, total=656.00
NO MATCH: phishing_mails/317 -> similarity=379.00, yara_score=0.00, total=379.00
MATCH: phishing_mails/318 -> similarity=1278.00, yara_score=0.00, total=1278.00
MATCH: phishing_mails/319 -> similarity=1037.00, yara_score=0.00, total=1037.00
NO MATCH: phishing_mails/320 -> similarity=492.00, yara_score=0.00, total=492.00
MATCH: phishing_mails/321 -> similarity=1516.00, yara_score=0.00, total=1516.00
NO MATCH: phishing_mails/322 -> similarity=557.00, yara_score=0.00, total=557.00
MATCH: phishing_mails/323 -> similarity=843.00, yara_score=0.00, total=843.00
MATCH: phishing_mails/324 -> similarity=5239.00, yara_score=0.00, total=5239.00
NO MATCH: phishing_mails/325 -> similarity=516.00, yara_score=0.00, total=516.00
MATCH: phishing_mails/326 -> similarity=863.00, yara_score=0.00, total=863.00
MATCH: phishing_mails/327 -> similarity=1095.00, yara_score=0.00, total=1095.00
MATCH: phishing_mails/328 -> similarity=707.00, yara_score=0.00, total=707.00
MATCH: phishing_mails/329 -> similarity=2959.00, yara_score=0.00, total=2959.00
MATCH: phishing_mails/330 -> similarity=1026.00, yara_score=0.00, total=1026.00
MATCH: phishing_mails/331 -> similarity=2976.00, yara_score=0.00, total=2976.00
MATCH: phishing_mails/332 -> similarity=927.00, yara_score=0.00, total=927.00
NO MATCH: phishing_mails/333 -> similarity=539.00, yara_score=0.00, total=539.00
MATCH: phishing_mails/334 -> similarity=1015.00, yara_score=0.00, total=1015.00
MATCH: phishing_mails/335 -> similarity=773.00, yara_score=0.00, total=773.00
MATCH: phishing_mails/336 -> similarity=672.00, yara_score=0.00, total=672.00
MATCH: phishing_mails/337 -> similarity=2064.00, yara_score=0.00, total=2064.00
MATCH: phishing_mails/338 -> similarity=1851.00, yara_score=0.00, total=1851.00
NO MATCH: phishing_mails/339 -> similarity=550.00, yara_score=0.00, total=550.00
MATCH: phishing_mails/340 -> similarity=886.00, yara_score=0.00, total=886.00
NO MATCH: phishing_mails/341 -> similarity=343.00, yara_score=0.00, total=343.00
NO MATCH: phishing_mails/342 -> similarity=435.00, yara_score=0.00, total=435.00
MATCH: phishing_mails/343 -> similarity=868.00, yara_score=0.00, total=868.00
MATCH: phishing_mails/344 -> similarity=42444.01, yara_score=0.00, total=42444.01
